actual_price,discount_price,product_link,product_general_img_link
26.990.000₫,24.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-14-oled-s5406ma-ultra-5-pp136w,https://cdn.tgdd.vn/Products/Images/44/328239/asus-vivobook-s-14-oled-s5406ma-ultra-5-pp136w-thumb-600x600.jpg
22.990.000₫,18.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w,https://cdn.tgdd.vn/Products/Images/44/305009/asus-vivobook-15-x1504va-nj023w-thumb-600x600.jpg
28.490.000₫,23.990.000₫,https://www.thegioididong.com/laptop/asus-gaming-vivobook-k3605zu-i5-rp296w,https://cdn.tgdd.vn/Products/Images/44/328951/asus-gaming-vivobook-k3605zu-i5-rp296w-thumb-600x600.jpg
33.990.000₫,30.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-16-oled-m5606wa-r9-mx072ws,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/329333/asus-vivobook-s-16-oled-m5606wa-r9-mx072ws-thumb-638649286349319591-600x600.jpg
29.990.000₫,26.990.000₫,https://www.thegioididong.com/laptop/asus-fx507vu-i7-lp186w,https://cdn.tgdd.vn/Products/Images/44/327898/asus-fx507vu-i7-lp186w-120724-044307-600x600.jpg
28.490.000₫,25.590.000₫,https://www.thegioididong.com/laptop/asus-fa507nur-r7-lp057w,https://cdn.tgdd.vn/Products/Images/44/327872/asus-fa507nur-r7-lp057w-thumb-600x600.jpg
29.990.000₫,25.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vu-i7-lp167w,https://cdn.tgdd.vn/Products/Images/44/320434/asus-tuf-gaming-f15-fx507vu-i7-lp167w-thumb-600x600.jpg
18.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w,https://cdn.tgdd.vn/Products/Images/44/311180/asus-vivobook-15-oled-a1505za-i5-l1337w-thumb-1-600x600.jpg
36.990.000₫,33.490.000₫,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3405ma-ultra-9-pp475w,https://cdn.tgdd.vn/Products/Images/44/324821/asus-zenbook-14-oled-ux3405ma-ultra-9-pp475w-thumb-600x600.jpg
25.990.000₫,23.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-ma586ws,https://cdn.tgdd.vn/Products/Images/44/328950/asus-vivobook-15-oled-a1505va-i9-ma586ws-thumb-600x600.jpg
24.990.000₫,21.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1386w,https://cdn.tgdd.vn/Products/Images/44/320552/asus-vivobook-15-oled-a1505va-i9-l1386w-thumb-600x600.jpg
31.990.000₫,28.890.000₫,https://www.thegioididong.com/laptop/asus-fx507vv-i7-lp151w,https://cdn.tgdd.vn/Products/Images/44/327899/asus-fx507vv-i7-lp151w-thumb-600x600.jpg
