actual_price,discount_price,product_link
56.990.000₫,51.990.000₫,https://www.thegioididong.com/laptop/hp-spectre-x360-14-eu0050tu-ultra-7-a19blpa
24.390.000₫,21.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-9j0b5pt
49.990.000₫,35.990.000₫,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa
28.590.000₫,24.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-9j0b7pt
35.890.000₫,31.890.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0140ax-r7-9q987pa
41.390.000₫,36.990.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0138ax-r7-9q985pa
62.890.000₫,57.890.000₫,https://www.thegioididong.com/laptop/hp-omen-16-xf0070ax-r9-8w945pa
24.590.000₫,17.990.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa?utm_flashsale=1
31.690.000₫,28.190.000₫,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0128tx-i5-8c5n3pa
33.290.000₫,29.690.000₫,https://www.thegioididong.com/laptop/hp-victus-16-r0228tx-i5-9q979pa
34.890.000₫,31.090.000₫,https://www.thegioididong.com/laptop/hp-victus-16-r0227tx-i5-9q978pa
58.890.000₫,53.890.000₫,https://www.thegioididong.com/laptop/hp-omen-16-xf0071ax-r7-8w946pa
