product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop Huawei Matebook D15,13.990.000đ,10.990.000đ,"Màn hình 15.6 inch Full HD cùng tấm nền IPS cho chất lượng hình chính xác và sống động
Cảm biến vân tay tích hợp chỉ cần một chạm để mở máy tính
CPU AMD Ryzen R7-5700U mọi tác vụ văn phòng, học tập được giải quyết chỉ trong một nốt nhạc
RAM 8GB chuẩn DDR4 hỗ trợ mở hàng chục tabs duyệt web cùng lúc mà không lo lag, giật
Ổ cứng 512GB SSD cho không gian lưu trữ rộng rãi, thoải mái
",,,,,,,,,,,https://cellphones.com.vn/laptop-huawei-matebook-d15-r7-5700u.html
Huawei Matebook X,Giá Liên Hệ,Giá Liên Hệ,,,,,,,,,,,,https://cellphones.com.vn/huawei-matebook-x.html
