product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,17.290.000đ,15.990.000đ,"Sở hữu thiết kế tinh tế với lớp vỏ nhôm sáng bóng, sang trọng
Màn hình 14 inch WUXGA cực sắc nét, hỗ trợ làm việc, giải trí dễ dàng
CPU Intel Core i5-12450H mạnh mẽ, giải quyết nhanh mọi tác vụ học tập, văn phòng
RAM 16GB cùng ổ cứng 512GB SSD đa nhiệm, mở máy, mở ứng dụng cực nhanh
Độ sáng lên đến 300nits hỗ trợ làm việc ở nơi có ánh sáng yếu
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html
Laptop Lenovo LOQ 15IAX9 83GS001RVN,23.990.000đ,21.290.000đ,"Trang bị bộ vi xử lý Intel Core i5-12450HX giúp xử lý tác vụ nhanh chóng và mượt mà
Card đồ họa NVIDIA GeForce RTX 3050 cho trải nghiệm gaming mượt mà với mức đồ họa cao
Bộ nhớ RAM 12GB DDR5 đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm
Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng
Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001rvn.html
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0009VN,16.490.000đ,15.290.000đ,"Trọng lượng cực nhẹ chỉ 1.37 kg, dễ dàng bỏ vào balo và mang theo bất cứ đâu.
CPU Intel Core i5-12450H xử lý từ những tác vụ văn phòng đơn giản tới những công việc thiết kế đồ họa đơn giản.
16GB RAM đa nhiệm, làm việc đồng thời với nhiều ứng dụng mà không cần quá lo lắng về hiện tượng tràn RAM hay giật Lag.
Ổ cứng SSD 1TB cung cấp khoảng trống lưu trữ lớn, cho tốc độ đọc ghi cực ấn tượng.
Màn hình 14 inch Full HD đảm bảo hiển thị hình ảnh có độ sắc nét cao tới từng chi tiết.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0009vn.html
Laptop Lenovo LOQ 15IAX9 83GS001SVN,20.990.000đ,19.290.000đ,"Chip i5 12450HX phù hợp với các tác vụ nặng như PTS, chơi game,...
Ram 12GB và ổ cứng SSD 512 mang đến tốc độ xử lí nhanh và khả năng lưu trữ lớn.
Màn hình 15.6 inches với độ phân giải Full HD cho hình ảnh sống động, chân thực
Tần số quét 144Hz cho bạn những phút giây chuyển cảnh cực mượt mà
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001svn.html
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,15.490.000đ,13.990.000đ,"Mang thiết kế tối ưu và di động với trọng lượng nhẹ nhàng chỉ 1.37 kg
CPU Intel Core i5-12450H mạnh mẽ, xử lý từ những tác vụ văn phòng đơn giản tới những công việc thiết kế hình ảnh
16GB RAM đa nhiệm giúp làm việc với nhiều ứng dụng mà không lo lắng giật Lag
Ổ cứng SSD 512GB cho không gian lưu trữ lớn giúp khởi động máy hay mở tệp thư mục nhanh chóng
Màn hình 14 inch Full HD đảm bảo hiển thị hình ảnh có độ sắc nét cao tới từng chi tiết
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html
Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN,15.990.000đ,11.490.000đ,"Sở hữu thiết kế tinh tế với tone màu xám đẹp mắt
Giải quyết mọi tác vụ học tập, văn phòng với CPU Intel Core i3 - 1215U
Màn hình cảm ứng 14 inch 2.2K cực sắc nét hỗ trợ học tập, làm việc, thao tác nhanh chóng
RAM 8GB cùng ổ cứng 512GB rộng rãi hỗ trợ lưu trữ nhiều file, tài liệu học tập
Trang bị đầy đủ cổng kết nối giúp truyền tải dữ liệu nhanh chóng
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14iau7-82r700jqvn.html
Laptop Lenovo LOQ 15ARP9 83JC007HVN,23.490.000đ,21.390.000đ,"Trang bị bộ vi xử lý AMD Ryzen 5 7235HS, hiệu năng mạnh mẽ đáp ứng tốt các nhu cầu sử dụng từ văn phòng đến giải trí.
Ram 12GB cho phép người dùng đa nhiệm mượt mà, trong khi ổ cứng SSD 512GB PCIe cung cấp tốc độ truy xuất nhanh chóng.
Màn hình 15.6 inch Full HD với tần số quét 144Hz mang đến trải nghiệm hiển thị siêu mượt, lý tưởng cho cả công việc và chơi game.
Card đồ họa rời NVIDIA GeForce RTX 3050 6GB hỗ trợ tốt các tác vụ đồ họa và chơi game cấu hình cao.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc007hvn.html
Laptop Lenovo LOQ 15IRX9 83DV00D5VN,31.990.000đ,29.690.000đ,"Trang bị bộ vi xử lý Intel Core i7 giúp xử lý tác vụ nhanh chóng và mượt mà
Card đồ họa NVIDIA GeForce RTX 4050 cho trải nghiệm gaming mượt mà với mức đồ họa cao
Bộ nhớ RAM 16GB đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm
Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng
Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv00d5vn.html
Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN,22.990.000đ,19.490.000đ,"Trang bị chip Intel Core i5-13420H, RAM 16GB và ổ cứng SSD 512GB PCIe, E14 Gen 5 xử lý mượt mà các tác vụ văn phòng, học tập và giải trí cơ bản.
Vỏ máy chắc chắn, đạt tiêu chuẩn quân đội Mỹ MIL-STD 810H, trang bị cảm biến vân tay, đảm bảo an toàn dữ liệu.
Màn hình 14 inch cho chất lượng hiển thị tốt, góc nhìn rộng, thoải mái làm việc và giải trí.
Trang bị đầy đủ các cổng kết nối cần thiết như USB-C, HDMI, USB 3.2, dễ dàng kết nối với các thiết bị ngoại vi.
Pin dung lượng lớn , giúp bạn làm việc cả ngày dài mà không lo gián đoạn.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-5-21jk00h5vn.html
Laptop Lenovo IdeaPad 1 14ALC7 82R30078VN,11.990.000đ,10.990.000đ,"Được trang bị bộ vi xử lý AMD Ryzen 5 5500U, đáp ứng tốt nhu cầu làm việc và giải trí.
Có bộ nhớ RAM 16GB, cho phép đa nhiệm mượt mà với nhiều ứng dụng cùng lúc.
Ổ cứng SSD PCIe 512GB cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất nhanh.
Màn hình 14 inch Full HD cho trải nghiệm xem tốt với độ phân giải cao.
Chạy hệ điều hành Windows 11 mới nhất, tích hợp nhiều tính năng hiện đại.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-1-14alc7-82r30078vn.html
